0001;mario;5;10;200
0002;dante;30;44;147
0003;rui;3;6;200
0004;helena;1;1;100
0005;arcanjo;1;2;200
0006;Sara;17;24;141
0007;andre;4;1;25
0008;Daniel;3;3;100
0009;dantiii;16;8;50
0011;dantin;1;0;0
0012;Dante;1;0;0
0013;a;1;0;0
0014;dan´;1;0;0
0014;dan;8;0;0
0015;edu;1;2;200
0016;dantinho;26;17;65
0017;Eric7;1;0;0
0018;Eric;2;4;200
